LineId,smonth,sday,shour,ip,id,id2,month,day,hour,city,type,Content,EventId,EventTemplate
1,Oct,4,10:34:22,200.74.216.13,312:,000680:,Oct,4,10:35:25.245,CCS:,%SEC_LOGIN-5-LOGIN_SUCCESS:,Login Success [user: admer] [Source: 200.74.215.2] [localport: 22] at 10:35:25 CCS Thu Oct 4 2018,0bee83ca,Login Success [user: <*> [Source: 200.74.215.2] [localport: 22] at <*> CCS <*> Oct <*> 2018
2,Oct,18,10:25:50,200.74.216.13,538:,001543:,Oct,18,10:27:05.211,CCS:,%SEC_LOGIN-5-LOGIN_SUCCESS:,Login Success [user: admer] [Source: 200.74.215.2] [localport: 22] at 10:27:05 CCS Thu Oct 18 2018,0bee83ca,Login Success [user: <*> [Source: 200.74.215.2] [localport: 22] at <*> CCS <*> Oct <*> 2018
3,Oct,4,11:20:42,200.74.216.13,314:,000684:,Oct,4,11:21:44.962,CCS:,%SYS-6-LOGOUT:,User admer has exited tty session 1(200.74.215.2),10b52bd2,User <*> has exited tty session 1(200.74.215.2)
4,Oct,4,12:51:56,200.74.216.13,316:,000688:,Oct,4,12:52:59.094,CCS:,%SYS-6-LOGOUT:,User admbautistay has exited tty session 1(200.74.215.2),10b52bd2,User <*> has exited tty session 1(200.74.215.2)
5,Oct,5,10:23:39,200.74.216.13,320:,000736:,Oct,5,10:24:42.812,CCS:,%DUAL-5-NBRCHANGE:,EIGRP-IPv4 2016: Neighbor 172.30.2.1 (GigabitEthernet3/8.3020) is down: holding time expired,c0779844,EIGRP-IPv4 2016: Neighbor 172.30.2.1 (GigabitEthernet3/8.3020) is down: holding time expired
6,Oct,5,12:36:13,200.74.216.13,324:,000742:,Oct,5,12:37:16.510,CCS:,%SYS-6-TTY_EXPIRE_TIMER:,"(exec timer expired, tty 1 (200.74.215.2)), user admer",d3ad8985,"(exec timer expired, tty 1 (200.74.215.2)), user admer"
7,Oct,5,16:40:47,200.74.216.13,326:,000748:,Oct,5,16:41:50.073,CCS:,%EARL_NETFLOW-SP-STDBY-4-TCAM_THRLD:,"Netflow TCAM threshold exceeded, TCAM Utilization [90%]",48e2b696,"Netflow TCAM threshold exceeded, TCAM Utilization <*>"
8,Oct,5,16:40:51,200.74.216.13,327:,000749:,Oct,5,16:41:53.652,CCS:,%EARL_NETFLOW-SP-4-TCAM_THRLD:,"Netflow TCAM threshold exceeded, TCAM Utilization [91%]",48e2b696,"Netflow TCAM threshold exceeded, TCAM Utilization <*>"
9,Oct,5,21:00:38,200.74.216.13,328:,000759:,Oct,5,21:01:42.533,CCS:,%SEC_LOGIN-5-LOGIN_SUCCESS:,Login Success [user: admcod] [Source: 200.74.215.2] [localport: 22] at 21:01:42 CCS Fri Oct 5 2018,0bee83ca,Login Success [user: <*> [Source: 200.74.215.2] [localport: 22] at <*> CCS <*> Oct <*> 2018
10,Oct,6,05:09:04,200.74.216.13,330:,000773:,Oct,6,05:10:08.710,CCS:,%DUAL-5-NBRCHANGE:,EIGRP-IPv4 2016: Neighbor 172.30.2.1 (GigabitEthernet3/8.3020) is down: holding time expired,c0779844,EIGRP-IPv4 2016: Neighbor 172.30.2.1 (GigabitEthernet3/8.3020) is down: holding time expired
11,Oct,6,05:09:31,200.74.216.13,331:,000774:,Oct,6,05:10:34.950,CCS:,%DUAL-5-NBRCHANGE:,EIGRP-IPv4 2016: Neighbor 172.30.2.1 (GigabitEthernet3/8.3020) is up: new adjacency,4e4579fe,EIGRP-IPv4 2016: Neighbor 172.30.2.1 (GigabitEthernet3/8.3020) is up: new adjacency
